timestamp,test-class,test-method,time,description,result
2021-06-07 13:25:39.45,acme.testing.AdministratorThresholdTest,updateThresholdNegative,64559,"[1] length=10, title=Task 1 sex, description=Description of the task 1 nigeria, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Manager']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Create Task']'
2021-06-07 13:26:45.695,acme.testing.AdministratorThresholdTest,updateThresholdNegative,65789,"[2] length=10, title=Task 2 pornografia, description=Description of the task 2 pornografia, workload=30.00, start=2021/11/20 07:00, end=2022/11/24 07:00, link=http://example.org",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Manager']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Create Task']'
2021-06-07 13:27:19.159,acme.testing.AdministratorThresholdTest,updateThresholdNegative,32973,"[3] length=10, title=Task 3 viagra, description=Description of the task 3 sex, workload=20.00, start=2021/08/23 06:00, end=2022/10/23 06:00, link=http://example.org",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Account']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Become a manager']'
2021-06-07 13:27:52.639,acme.testing.AdministratorThresholdTest,updateThresholdNegative,33011,"[4] length=10, title=Task 4 duro, description=Description of the task 4 viagra, workload=20.00, start=2021/07/21 04:00, end=2022/07/26 08:00, link=",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Account']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Become a manager']'
2021-06-07 13:28:58.979,acme.testing.AdministratorThresholdTest,updateThresholdNegative,65842,"[5] length=10, title=Task 5 cialis, description=Description of the task 5 cialis, workload=20.00, start=2021/08/12 12:00, end=2022/08/12 12:00, link=http://example.org",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Manager']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Create Task']'
2021-06-07 13:29:38.042,acme.testing.AdministratorThresholdTest,updateThresholdNegative,38611,"[6] length=10, title=Task 6 viagra, description=Description of the task 6 cialis, workload=20.00, start=2021/10/16 11:00, end=2022/10/18 10:00, link=http://example.org",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Manager']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Create Task']'
