timestamp,test-class,test-method,time,description,result
2021-06-07 19:11:57.188,acme.testing.ManagerCreateTaskTest,create,14138,"[1] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:12:10.094,acme.testing.ManagerCreateTaskTest,create,12302,"[2] title=Task 2, description=Description of the task 2, workload=30.00, start=2021/11/20 07:00, end=2022/11/24 07:00, link=http://example.org",OK
2021-06-07 19:12:23.198,acme.testing.ManagerCreateTaskTest,create,12500,"[3] title=Task 3, description=Description of the task 3, workload=20.00, start=2021/08/23 06:00, end=2022/10/23 06:00, link=http://example.org",OK
2021-06-07 19:12:40.238,acme.testing.ManagerCreateTaskTest,create,16354,"[4] title=Task 4, description=Description of the task 4, workload=20.00, start=2021/07/21 04:00, end=2022/07/26 08:00, link=null",OK
2021-06-07 19:12:54.341,acme.testing.ManagerCreateTaskTest,create,13588,"[5] title=Task 5, description=Description of the task 5, workload=20.00, start=2021/08/12 12:00, end=2022/08/12 12:00, link=http://example.org",OK
2021-06-07 19:13:06.901,acme.testing.ManagerCreateTaskTest,create,12096,"[6] title=Task 6, description=Description of the task 6, workload=20.00, start=2021/10/16 11:00, end=2022/10/18 10:00, link=http://example.org",OK
2021-06-07 19:13:19.066,acme.testing.ManagerCreateTaskTest,create,11714,"[7] title=Task 7, description=Description of the task 7, workload=20.00, start=2021/09/18 08:00, end=2022/09/15 11:00, link=null",OK
2021-06-07 19:13:31.957,acme.testing.ManagerCreateTaskTest,create,12425,"[8] title=Sex A A A A A A A A A A, description=Description of the task 8, workload=20.00, start=2021/09/18 08:00, end=2022/09/15 11:00, link=http://example.org",OK
2021-06-07 19:13:44.878,acme.testing.ManagerCreateTaskTest,create,12327,"[9] title=Task 9, description=Sex A A A A A A A A A A, workload=20.00, start=2021/09/18 08:00, end=2022/09/15 11:00, link=null",OK
2021-06-07 19:13:58.485,acme.testing.ManagerCreateTaskTest,create,13122,"[10] title=Sex A A A A A A A A A A, description=Sex A A A A A A A A A A, workload=20.00, start=2021/09/18 08:00, end=2022/09/15 11:00, link=null",OK
2021-06-07 19:14:09.787,acme.testing.ManagerCreateTaskTest,createNegative,10839,"[1] title=, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:14:21.577,acme.testing.ManagerCreateTaskTest,createNegative,11299,"[2] title=Task 1, description=null, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:14:33.339,acme.testing.ManagerCreateTaskTest,createNegative,11267,"[3] title=Task 1, description=Description of the task 1, workload=null, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:14:45.801,acme.testing.ManagerCreateTaskTest,createNegative,12027,"[4] title=Task 1, description=Description of the task 1, workload=20.00, start=null, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:14:57.559,acme.testing.ManagerCreateTaskTest,createNegative,11291,"[5] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=null, link=http://example.org",OK
2021-06-07 19:15:10.421,acme.testing.ManagerCreateTaskTest,createNegative,12400,"[6] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:15:23.923,acme.testing.ManagerCreateTaskTest,createNegative,12887,"[7] title=Task 1, description=Description of the task 1, workload=-1, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:15:36.462,acme.testing.ManagerCreateTaskTest,createNegative,12038,"[8] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2020/10/24 06:00, link=http://example.org",OK
2021-06-07 19:15:47.607,acme.testing.ManagerCreateTaskTest,createNegative,10588,"[9] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=description1",OK
2021-06-07 19:16:00.11,acme.testing.ManagerCreateTaskTest,createNegative,12050,"[10] title=Sex, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:16:11.442,acme.testing.ManagerCreateTaskTest,createNegative,10896,"[11] title=Task 1, description=Sex, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
2021-06-07 19:16:24.989,acme.testing.ManagerCreateTaskTest,createNegative,13125,"[12] title=Task 1, description=Description of the task 1, workload=20.00, start=2021/10/23 06:00, end=2022/10/24 06:00, link=http://example.org",OK
